id,fake,real
TEST_00000,0.8057152728239695,0.8722631931304932
TEST_00001,0.383485347032547,0.9811423520247141
TEST_00002,0.7316850324471792,0.9050471285978953
TEST_00003,0.9954374333222707,0.6431590467691422
TEST_00004,0.3147932092348735,0.9982863962650299
TEST_00005,0.2265139495333036,0.991313616434733
TEST_00006,0.0,0.0
TEST_00007,0.21253989264369008,0.996700257062912
TEST_00008,0.18798953543106708,0.9990417460600535
TEST_00009,0.9237964252630869,0.8223019738992056
TEST_00010,0.43145596981048584,0.5582830359538397
TEST_00011,0.8409463465213776,0.3114031006892522
TEST_00012,0.682700494925181,0.9894625147183737
TEST_00013,0.8776507079601288,0.9086846013863882
TEST_00014,0.20876256997386614,0.7977104435364405
TEST_00015,0.0,0.0
TEST_00016,0.7228895326455435,0.9555748005708059
TEST_00017,0.11403817497193808,0.9725923240184784
TEST_00018,0.0,0.0
TEST_00019,0.326185405254364,0.9923543731371561
TEST_00020,0.09547377377748484,0.9899753928184509
TEST_00021,0.0,0.0
TEST_00022,0.4384646664063136,0.5493702950576941
TEST_00023,0.24843165216346577,0.9606176614761353
TEST_00024,0.8830382525920868,0.8253476768732071
TEST_00025,0.2608381745715936,0.7645299459497134
TEST_00026,0.5590428511301676,0.9826812247435252
TEST_00027,0.7307438055674235,0.32478238455951214
TEST_00028,0.6948228279749552,0.6344471474488577
TEST_00029,0.08926326036453243,0.9855623344580332
TEST_00030,0.8932627042134603,0.6688264012336731
TEST_00031,0.43289635827143985,0.9249993165334066
TEST_00032,0.0,0.0
TEST_00033,0.1534847219785054,0.996570885181427
TEST_00034,0.37410005927085876,0.9973028500874838
TEST_00035,0.21454753230015433,0.9974794685840607
TEST_00036,0.844950666030248,0.06965407046178973
TEST_00037,0.28729113688071567,0.9266657928625742
TEST_00038,0.6270276755094528,0.977213462193807
TEST_00039,0.373714139064153,0.9743702510992686
TEST_00040,0.0,0.0
TEST_00041,0.4455176368355751,0.9729451934496561
TEST_00042,0.0,0.0
TEST_00043,0.17301682755351064,0.9927766919136047
TEST_00044,0.10223107288281118,0.9984354575475057
TEST_00045,0.5615169604619344,0.9789872566858927
TEST_00046,0.28064145147800446,0.9954812129338583
TEST_00047,0.4078591863314311,0.962002823750178
TEST_00048,0.32701168209314346,0.9794867138067881
TEST_00049,0.16486286992828048,0.999363899230957
TEST_00050,0.5074858615795771,0.8593557476997375
TEST_00051,0.9535999397436777,0.07652274488161005
TEST_00052,0.6712817897399267,0.9004586438337961
TEST_00053,0.44753779222567874,0.8879565000534058
TEST_00054,0.26321495572725934,0.984218567609787
TEST_00055,0.18309784308075902,0.9449078639348348
TEST_00056,0.0,0.0
TEST_00057,0.0,0.0
TEST_00058,0.9990759889284769,0.44366343567768735
TEST_00059,0.9487024943033854,0.6253865907589594
TEST_00060,0.12959648172060645,0.9972544511159261
TEST_00061,0.0,0.0
TEST_00062,0.18862816194693244,0.9864673316478729
TEST_00063,0.25035567333300907,0.996232291062673
TEST_00064,0.8290549516677856,0.6708477089802424
TEST_00065,0.2461236690481504,0.9993426501750946
TEST_00066,0.454412763317426,0.9765946368376414
TEST_00067,0.1528454298774401,0.9975849390029907
TEST_00068,0.11071321616570151,0.9975071251392365
TEST_00069,0.9985136687755585,0.47286893675724667
TEST_00070,0.7898263434569041,0.929344654083252
TEST_00071,0.3262976109981537,0.9949435492356619
TEST_00072,0.23425294707218802,0.9901176591714224
TEST_00073,0.1491140450040499,0.9982704917589823
TEST_00074,0.24658264964818952,0.9887103835741679
TEST_00075,0.0,0.0
TEST_00076,0.9999494055906931,0.5937567229072253
TEST_00077,0.1493650563061237,0.9858421385288239
TEST_00078,0.08231160913904505,0.9971745709578196
TEST_00079,0.376875601708889,0.9077643752098083
TEST_00080,0.17049612601598105,0.9957498013973236
TEST_00081,0.28847510119279224,0.8585903495550156
TEST_00082,0.47185270488262177,0.9259894688924154
TEST_00083,0.6550122151772181,0.8780608773231506
TEST_00084,0.3714801569779714,0.8148808081944784
TEST_00085,0.4814084619283676,0.9938245117664337
TEST_00086,0.48484327644109726,0.9729675153891245
TEST_00087,0.39166274666786194,0.6253747095664343
TEST_00088,0.0,0.0
TEST_00089,0.5419669598340988,0.8896515468756357
TEST_00090,0.6946429262558619,0.8035722275575002
TEST_00091,0.0,0.0
TEST_00092,0.2829356665412585,0.9653756221135458
TEST_00093,0.5439927329619726,0.9043855667114258
TEST_00094,0.9386229813098907,0.26500536998112995
TEST_00095,0.8921238780021667,0.895608514547348
TEST_00096,0.20820459226767218,0.9980770150820414
TEST_00097,0.0,0.0
TEST_00098,0.7405106822649637,0.9895460307598114
TEST_00099,0.3008047863841057,0.9959814151128134
TEST_00100,0.15507662544647852,0.8926947216192881
TEST_00101,0.15252630164225892,0.9834130803743998
TEST_00102,0.990634689728419,0.973391979932785
TEST_00103,0.9999170104662577,0.3094282584885756
TEST_00104,0.2575281336903572,0.9863893489042918
TEST_00105,0.7787379622459412,0.9259209434191386
TEST_00106,0.9667447507381439,0.02518436793858803
TEST_00107,0.5676344931125641,0.9433393776416779
TEST_00108,0.0,0.0
TEST_00109,0.4359362969795863,0.9240118066469828
TEST_00110,0.6913378785053889,0.5158739735682806
TEST_00111,0.5722308059533437,0.968613068262736
TEST_00112,0.4526612038413684,0.9644324282805125
TEST_00113,0.15205779423316315,0.6596649438142776
TEST_00114,0.3249247918526332,0.9664543271064758
TEST_00115,0.36257267743349075,0.9531111021836599
TEST_00116,0.49913708368937176,0.9027728041013082
TEST_00117,0.08072759459416066,0.9588416417439779
TEST_00118,0.41414419064919156,0.8757489323616028
TEST_00119,0.38052162528038025,0.9780263702074686
TEST_00120,0.0447746918847163,0.9995883504549662
TEST_00121,0.681803822517395,0.9612518350283304
TEST_00122,0.8429757952690125,0.9512453774611155
TEST_00123,0.18492056926091507,0.8629979193210602
TEST_00124,0.20967388028899828,0.9902923107147217
TEST_00125,0.5775536447763443,0.9428419371445974
TEST_00126,0.22859512021144232,0.9996998210748037
TEST_00127,0.17666901213427386,0.867810438076655
TEST_00128,0.6894423266251882,0.9099094470342001
TEST_00129,0.0,0.0
TEST_00130,0.3495403702060382,0.9894882539908091
TEST_00131,0.0,0.0
TEST_00132,0.0,0.0
TEST_00133,0.9970710178216299,0.7235931803782781
TEST_00134,0.17216850693027178,0.9910255173842112
TEST_00135,0.7657893399397532,0.7120560655991236
TEST_00136,0.5566049267848333,0.9357292254765829
TEST_00137,0.8033980925877889,0.6292879730463028
TEST_00138,0.44911422828833264,0.97484157482783
TEST_00139,0.15725378009180224,0.9075360397497813
TEST_00140,0.7680384616057078,0.6189525375763575
TEST_00141,0.2668985575437546,0.9951471487681071
TEST_00142,0.7921162694692612,0.6762707829475403
TEST_00143,0.9956959585348765,0.05168384344627457
TEST_00144,0.6074290623267492,0.7467046994715929
TEST_00145,0.2879090756177902,0.966392328341802
TEST_00146,0.31523604442675907,0.9896835386753082
TEST_00147,0.23139790942271546,0.9954949617385864
TEST_00148,0.6155633529027303,0.9438510835170746
TEST_00149,0.502221941947937,0.9628945589065552
TEST_00150,0.8183303972085317,0.8397129078706106
TEST_00151,0.8994281987349192,0.6524684578180313
